# Constructed from biom file
#OTU ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	NTC	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4	S5
Unassigned;__;__;__;__;__	407.0	492.0	367.0	547.0	612.0	477.0	407.0	558.0	358.0	563.0	447.0	415.0	588.0	622.0	0.0	290.0	533.0	544.0	561.0	154.0	344.0	210.0	557.0	595.0	354.0	103.0	318.0	579.0	502.0	438.0	419.0	452.0	349.0	334.0	436.0	526.0	628.0	501.0	433.0	379.0	717.0	54.0	309.0	478.0
d__Bacteria;__;__;__;__;__	232.0	297.0	360.0	305.0	397.0	254.0	248.0	263.0	211.0	555.0	495.0	448.0	627.0	564.0	0.0	182.0	339.0	453.0	318.0	122.0	545.0	217.0	321.0	560.0	452.0	191.0	289.0	738.0	538.0	426.0	429.0	540.0	514.0	512.0	626.0	599.0	575.0	612.0	561.0	222.0	363.0	41.0	253.0	351.0
d__Eukaryota;__;__;__;__;__	16.0	10.0	14.0	28.0	46.0	33.0	28.0	23.0	19.0	19.0	43.0	21.0	38.0	32.0	0.0	17.0	44.0	21.0	27.0	8.0	18.0	9.0	41.0	50.0	18.0	0.0	23.0	24.0	40.0	24.0	48.0	20.0	34.0	6.0	33.0	33.0	32.0	28.0	14.0	18.0	51.0	5.0	14.0	35.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae;g__Luteolibacter	35.0	44.0	50.0	126.0	42.0	40.0	47.0	53.0	29.0	68.0	61.0	85.0	63.0	65.0	0.0	29.0	48.0	51.0	64.0	27.0	59.0	32.0	47.0	71.0	64.0	61.0	44.0	107.0	64.0	96.0	85.0	42.0	77.0	58.0	83.0	152.0	77.0	52.0	49.0	21.0	36.0	10.0	32.0	32.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured	8544.0	13348.0	11603.0	13080.0	14038.0	12096.0	13112.0	12966.0	10576.0	9314.0	8715.0	8643.0	11029.0	10249.0	104.0	9818.0	11036.0	16058.0	12716.0	6875.0	10613.0	8525.0	11773.0	9687.0	8881.0	3719.0	12696.0	10158.0	9019.0	9683.0	7309.0	9551.0	8346.0	8124.0	9557.0	10100.0	9562.0	8609.0	9690.0	8921.0	15668.0	2936.0	9570.0	11770.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0.0	2.0	0.0	32.0	2.0	2.0	0.0	12.0	4.0	16.0	8.0	18.0	35.0	13.0	0.0	11.0	5.0	38.0	16.0	2.0	4.0	0.0	16.0	24.0	12.0	0.0	12.0	16.0	10.0	20.0	3.0	13.0	18.0	13.0	22.0	9.0	19.0	24.0	15.0	2.0	0.0	0.0	0.0	11.0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25	1078.0	1060.0	1247.0	1365.0	1107.0	947.0	1025.0	1060.0	919.0	348.0	294.0	257.0	398.0	293.0	3.0	842.0	1324.0	1305.0	1223.0	589.0	252.0	747.0	1175.0	341.0	238.0	130.0	998.0	428.0	321.0	295.0	305.0	298.0	299.0	232.0	329.0	310.0	297.0	347.0	286.0	889.0	1105.0	223.0	767.0	1174.0
d__Bacteria;p__Proteobacteria;__;__;__;__	3.0	17.0	4.0	5.0	5.0	0.0	5.0	7.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	0.0	7.0	4.0	7.0	0.0	8.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	3.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Jorgensenbacteria;f__Candidatus_Jorgensenbacteria;g__Candidatus_Jorgensenbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__A4b	18.0	31.0	28.0	53.0	40.0	25.0	24.0	32.0	16.0	39.0	56.0	46.0	63.0	37.0	0.0	33.0	42.0	39.0	59.0	22.0	32.0	60.0	37.0	47.0	14.0	34.0	22.0	75.0	30.0	19.0	61.0	30.0	37.0	49.0	52.0	66.0	42.0	45.0	68.0	28.0	27.0	2.0	18.0	35.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__WWH38;g__WWH38	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	56.0	51.0	77.0	68.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	45.0	56.0	10.0	0.0	77.0	50.0	32.0	54.0	61.0	47.0	83.0	61.0	62.0	31.0	37.0	46.0	2.0	0.0	0.0	0.0	4.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031	37.0	70.0	77.0	154.0	89.0	81.0	80.0	114.0	82.0	103.0	90.0	84.0	133.0	127.0	2.0	67.0	79.0	122.0	147.0	43.0	83.0	98.0	95.0	139.0	74.0	52.0	53.0	197.0	123.0	83.0	143.0	99.0	115.0	124.0	170.0	119.0	75.0	108.0	108.0	62.0	93.0	18.0	49.0	84.0
