	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S4	S5
B1	0	0.7059174180030823	0.6974408030509949	0.7294126749038696	0.7067151069641113	0.7090186476707458	0.7417175769805908	0.7313923239707947	0.6991531252861023	0.7945106029510498	0.7827476859092712	0.7737742066383362	0.7836933732032776	0.792518138885498	0.7333526015281677	0.7077053785324097	0.7127452492713928	0.7098785638809204	0.7257424592971802	0.7948654890060425	0.6916052103042603	0.7346675992012024	0.7890344858169556	0.7910320162773132	0.7056996822357178	0.7763399481773376	0.7950481176376343	0.7889677286148071	0.7816222906112671	0.7812015414237976	0.7882249355316162	0.7791274189949036	0.7938939332962036	0.7859091758728027	0.7885129451751709	0.7909972071647644	0.7780472040176392	0.7143902778625488	0.7336203455924988	0.7053968906402588	0.7185640335083008
B2	0.7059174180030823	0	0.6984328627586365	0.7195753455162048	0.6923739910125732	0.685808539390564	0.7274119257926941	0.6931135654449463	0.7299303412437439	0.7846076488494873	0.773800253868103	0.766295313835144	0.780742347240448	0.7806662917137146	0.6925930380821228	0.6839781999588013	0.6825751066207886	0.6956408619880676	0.7158949971199036	0.7862828373908997	0.7070660591125488	0.7211978435516357	0.7798770070075989	0.7858275771141052	0.700131356716156	0.7798593640327454	0.7985093593597412	0.7798504829406738	0.7850822806358337	0.7848631143569946	0.786845326423645	0.77036052942276	0.7802003622055054	0.7729099988937378	0.7917643785476685	0.7871585488319397	0.7814119458198547	0.7132105231285095	0.7047759294509888	0.7006545066833496	0.7188653349876404
B3	0.6974408030509949	0.6984328627586365	0	0.7278147339820862	0.6987127661705017	0.7030594348907471	0.7461524605751038	0.7228004932403564	0.6972323656082153	0.7789666056632996	0.7657078504562378	0.7571299076080322	0.7818866968154907	0.7767281532287598	0.7202228903770447	0.6869263648986816	0.6746483445167542	0.7063156962394714	0.7232308387756348	0.7714045643806458	0.6959270834922791	0.7410935759544373	0.782816469669342	0.7762942314147949	0.7050003409385681	0.780730664730072	0.7830158472061157	0.7817908525466919	0.7804884314537048	0.7776807546615601	0.7717203497886658	0.7645715475082397	0.776922345161438	0.7667458653450012	0.7887179255485535	0.7840708494186401	0.7644665837287903	0.7126543521881104	0.6963920593261719	0.6999911069869995	0.6967748999595642
B4	0.7294126749038696	0.7195753455162048	0.7278147339820862	0	0.7202436327934265	0.7129124999046326	0.7548823952674866	0.7104988694190979	0.7107029557228088	0.7873842716217041	0.8006256818771362	0.7916064858436584	0.7864996790885925	0.789459228515625	0.7305363416671753	0.7320142388343811	0.7117304801940918	0.7028166651725769	0.7572090625762939	0.7810468077659607	0.7197120189666748	0.7268122434616089	0.7883309125900269	0.7908512353897095	0.721360981464386	0.7877813577651978	0.7925617694854736	0.8006634712219238	0.7893927097320557	0.8047730922698975	0.805265486240387	0.790495753288269	0.7941323518753052	0.7820842862129211	0.8002625107765198	0.7821734547615051	0.8002505302429199	0.7183483839035034	0.7184656858444214	0.7299926280975342	0.7202883362770081
B5	0.7067151069641113	0.6923739910125732	0.6987127661705017	0.7202436327934265	0	0.7076622843742371	0.7147465944290161	0.707300066947937	0.7138086557388306	0.7792020440101624	0.7919673919677734	0.7651110887527466	0.7831557989120483	0.7767671346664429	0.7242206931114197	0.7057436108589172	0.6987993717193604	0.7067399621009827	0.7311052680015564	0.7916707992553711	0.7128123044967651	0.724553644657135	0.779761016368866	0.7995445132255554	0.7199030518531799	0.7925698161125183	0.7854454517364502	0.7869120836257935	0.7859415411949158	0.7915646433830261	0.7863876819610596	0.7852562665939331	0.7838550209999084	0.7802773118019104	0.8008954524993896	0.7861865758895874	0.7784420251846313	0.7178669571876526	0.7060508131980896	0.7305076718330383	0.7161983251571655
B6	0.7090186476707458	0.685808539390564	0.7030594348907471	0.7129124999046326	0.7076622843742371	0	0.7229198813438416	0.6988147497177124	0.7009831666946411	0.7871817350387573	0.800378680229187	0.7884393930435181	0.7924720644950867	0.795329749584198	0.7027629017829895	0.71149080991745	0.7019168138504028	0.7055491209030151	0.7224910855293274	0.7779527306556702	0.7110439538955688	0.7196117639541626	0.7983369827270508	0.7930444478988647	0.7065951228141785	0.7937561869621277	0.8017423152923584	0.7984200716018677	0.7816634774208069	0.7912019491195679	0.7894874811172485	0.7900578379631042	0.7964904308319092	0.7851411700248718	0.7993490099906921	0.7919959425926208	0.8027127981185913	0.7051168084144592	0.7201952338218689	0.717068612575531	0.7117147445678711
B7	0.7417175769805908	0.7274119257926941	0.7461524605751038	0.7548823952674866	0.7147465944290161	0.7229198813438416	0	0.7248410582542419	0.7255518436431885	0.7923946976661682	0.792270302772522	0.7783796191215515	0.7990029454231262	0.7913008332252502	0.7422229051589966	0.7496505379676819	0.7368664145469666	0.7117235064506531	0.750195324420929	0.7941153049468994	0.7205320000648499	0.7460019588470459	0.8026683926582336	0.7891066670417786	0.7197652459144592	0.8018287420272827	0.7987778186798096	0.7952411770820618	0.7928335666656494	0.783017098903656	0.7781688570976257	0.7869726419448853	0.8058856725692749	0.788865327835083	0.8075839877128601	0.7937114238739014	0.7884392142295837	0.7576817274093628	0.7314865589141846	0.7470560073852539	0.7297086119651794
B8	0.7313923239707947	0.6931135654449463	0.7228004932403564	0.7104988694190979	0.707300066947937	0.6988147497177124	0.7248410582542419	0	0.7162734866142273	0.790863037109375	0.7961786985397339	0.7832534909248352	0.7979556918144226	0.8009245991706848	0.7277387976646423	0.70915687084198	0.7071378231048584	0.7268667817115784	0.7308389544487	0.7996461391448975	0.6980849504470825	0.7315873503684998	0.8072867393493652	0.8069633841514587	0.7144651412963867	0.8011537194252014	0.8066971898078918	0.796281099319458	0.7911627292633057	0.7970445156097412	0.7995829582214355	0.8024515509605408	0.8031312227249146	0.7954221963882446	0.801519513130188	0.802203893661499	0.7937749624252319	0.7393487095832825	0.722186803817749	0.7018848657608032	0.7154037952423096
B9	0.6991531252861023	0.7299303412437439	0.6972323656082153	0.7107029557228088	0.7138086557388306	0.7009831666946411	0.7255518436431885	0.7162734866142273	0	0.7834641933441162	0.800707221031189	0.7801571488380432	0.784784197807312	0.7908929586410522	0.7283843159675598	0.7139960527420044	0.6982324719429016	0.6894364953041077	0.7277691960334778	0.7869415283203125	0.6871098875999451	0.7537320256233215	0.7949765920639038	0.7979015707969666	0.6752007007598877	0.7985465526580811	0.789238452911377	0.7928605079650879	0.7914496064186096	0.8006834387779236	0.7959703207015991	0.7870135903358459	0.7911267876625061	0.7815512418746948	0.8050151467323303	0.784515917301178	0.7908785343170166	0.7037497758865356	0.7180848717689514	0.7053153514862061	0.7162087559700012
C1	0.7945106029510498	0.7846076488494873	0.7789666056632996	0.7873842716217041	0.7792020440101624	0.7871817350387573	0.7923946976661682	0.790863037109375	0.7834641933441162	0	0.6957311630249023	0.6619168519973755	0.6965446472167969	0.680628776550293	0.7943532466888428	0.7966683506965637	0.7743872404098511	0.7759270071983337	0.808718740940094	0.6953519582748413	0.7880909442901611	0.7953283190727234	0.6950088739395142	0.6968545317649841	0.7843787670135498	0.6829176545143127	0.6867474317550659	0.7019054889678955	0.6954824924468994	0.6749833822250366	0.6807319521903992	0.6696547865867615	0.6837145686149597	0.6812620162963867	0.6978591084480286	0.6793094277381897	0.6831818222999573	0.7864867448806763	0.7787540555000305	0.8040226697921753	0.78407222032547
