	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S4	S5
B1	0	0.03159407153725624	0.02751731686294079	0.03123459033668041	0.0334901325404644	0.0363270677626133	0.0375613309442997	0.03314664959907532	0.03097075782716274	0.1025771945714951	0.1055831238627434	0.1051303744316101	0.1088767200708389	0.108784519135952	0.03531941398978233	0.03178488835692406	0.03644672036170959	0.02864382788538933	0.03880849853157997	0.1106786504387856	0.03225735202431679	0.02695220150053501	0.1099433451890945	0.1083157509565353	0.03681342303752899	0.1116112992167473	0.1074915453791618	0.1052195802330971	0.1101158410310745	0.1070767119526863	0.1100841537117958	0.1084353551268578	0.1111532896757126	0.1061066538095474	0.118178203701973	0.1069842725992203	0.1042076274752617	0.03122785687446594	0.03741014003753662	0.03597535938024521	0.02946184761822224
B2	0.03159407153725624	0	0.02350824698805809	0.02778579294681549	0.02071864530444145	0.02544599398970604	0.02541815862059593	0.02416044287383556	0.02014001831412315	0.1053283214569092	0.1064545661211014	0.1051798686385155	0.1095748096704483	0.1099340841174126	0.02617857605218887	0.03508371859788895	0.02257473953068256	0.02811113744974136	0.03176384791731834	0.1098183766007423	0.02989866770803928	0.0238941852003336	0.1125753074884415	0.1078818887472153	0.02377394773066044	0.1147180870175362	0.1099233776330948	0.1049785539507866	0.1127777099609375	0.1074994802474976	0.1112273335456848	0.108288511633873	0.1128391027450562	0.1060672998428345	0.1215063631534576	0.1104233860969543	0.1039941012859344	0.02442576922476292	0.02424103766679764	0.02534605376422405	0.02697636932134628
B3	0.02751731686294079	0.02350824698805809	0	0.02589577436447144	0.02770202420651913	0.03214697912335396	0.03079511784017086	0.02768522873520851	0.02547552809119225	0.1045606583356857	0.1061163321137428	0.1044924110174179	0.1093192845582962	0.1085646972060204	0.02837493270635605	0.0311330147087574	0.02587741985917091	0.02842885069549084	0.03515321016311646	0.1085102558135986	0.0298437774181366	0.02419520355761051	0.1111874058842659	0.1069535240530968	0.03036043792963028	0.1132758855819702	0.1084139049053192	0.1046419888734818	0.1109100356698036	0.1084944978356361	0.1097126752138138	0.1069607436656952	0.1108645051717758	0.1057074218988419	0.1198354363441467	0.1086440458893776	0.1041039079427719	0.02641523443162441	0.03066467493772507	0.03163158893585205	0.02631871215999126
B4	0.03123459033668041	0.02778579294681549	0.02589577436447144	0	0.02962051331996918	0.03204109892249107	0.03291537240147591	0.02747453190386295	0.02525549195706844	0.1031252816319466	0.1052216291427612	0.1045872122049332	0.1081317812204361	0.1078758761286736	0.02889920771121979	0.03119883686304092	0.03066909499466419	0.02506271004676819	0.03684092685580254	0.1077456176280975	0.03282327204942703	0.02504521235823631	0.1097560003399849	0.1070513278245926	0.0327400378882885	0.1120077222585678	0.1060474514961243	0.1037172898650169	0.1096097752451897	0.1067876070737839	0.110249936580658	0.107513040304184	0.1093359813094139	0.1046088114380836	0.1192293167114258	0.1078363060951233	0.1036426350474358	0.02950758673250675	0.03330214321613312	0.03390824794769287	0.02579536475241184
B5	0.0334901325404644	0.02071864530444145	0.02770202420651913	0.02962051331996918	0	0.02634605765342712	0.02723629586398602	0.02449736930429935	0.02318847179412842	0.1036878451704979	0.1054983213543892	0.1048439666628838	0.1079558432102203	0.1079802662134171	0.0283567663282156	0.03800689429044724	0.02488970756530762	0.02955554239451885	0.03227907046675682	0.1094739213585854	0.02927573584020138	0.02612569183111191	0.1113148778676987	0.1078975051641464	0.02728366293013096	0.1133122220635414	0.1077718809247017	0.1043341904878616	0.1123409196734428	0.1067363768815994	0.1110988184809685	0.1080733686685562	0.1120726838707924	0.1048406958580017	0.1207186803221703	0.1089701354503632	0.1033298969268799	0.02380329370498657	0.02513592131435871	0.02718284912407398	0.03027870319783688
B6	0.0363270677626133	0.02544599398970604	0.03214697912335396	0.03204109892249107	0.02634605765342712	0	0.02444078028202057	0.02488535083830357	0.02341998927295208	0.1091395691037178	0.1123283803462982	0.1107105389237404	0.1141436100006104	0.1138602718710899	0.02686670795083046	0.03857346996665001	0.02894815243780613	0.02950487658381462	0.0306819099932909	0.1147566586732864	0.03380349278450012	0.02873723022639751	0.1165788993239403	0.1120553836226463	0.02389636263251305	0.1187126636505127	0.1139589175581932	0.1096956506371498	0.1171263381838799	0.11155154556036	0.1162537410855293	0.1139529943466187	0.1168920025229454	0.1104534640908241	0.1250542998313904	0.1147065237164497	0.1094166561961174	0.02555290795862675	0.02249458245933056	0.02452174574136734	0.03090274706482887
B7	0.0375613309442997	0.02541815862059593	0.03079511784017086	0.03291537240147591	0.02723629586398602	0.02444078028202057	0	0.02446318976581097	0.02389080636203289	0.109572634100914	0.1118215098977089	0.1104771867394447	0.1150194928050041	0.1144027709960938	0.0289804320782423	0.04078232124447823	0.02703827433288097	0.03268001228570938	0.03092747367918491	0.1145345866680145	0.03127641603350639	0.02876109071075916	0.1178753450512886	0.111634373664856	0.02379842661321163	0.1207724139094353	0.1147083044052124	0.1089842468500137	0.11866594851017	0.1121684163808823	0.1166731044650078	0.1139235273003578	0.11844452470541	0.1113413572311401	0.1261259615421295	0.1152174696326256	0.1090323999524117	0.02543154545128345	0.02148561924695969	0.02267596311867237	0.03565668314695358
B8	0.03314664959907532	0.02416044287383556	0.02768522873520851	0.02747453190386295	0.02449736930429935	0.02488535083830357	0.02446318976581097	0	0.02261888049542904	0.1035710126161575	0.107067309319973	0.1056498289108276	0.1093165650963783	0.1089082956314087	0.02727912366390228	0.03427936136722565	0.02726063504815102	0.02565423026680946	0.03315882384777069	0.1099528968334198	0.03223821520805359	0.0247626006603241	0.1111297309398651	0.1076064854860306	0.02650305815041065	0.1133225038647652	0.1083276867866516	0.1050370037555695	0.1118530258536339	0.1070523038506508	0.1111640334129333	0.1093708053231239	0.1117784902453423	0.1062052026391029	0.1193940043449402	0.1091444566845894	0.1048829257488251	0.02301200851798058	0.02367659471929073	0.02580355852842331	0.02982604689896107
B9	0.03097075782716274	0.02014001831412315	0.02547552809119225	0.02525549195706844	0.02318847179412842	0.02341998927295208	0.02389080636203289	0.02261888049542904	0	0.1048499420285225	0.1071444898843765	0.1054074764251709	0.1095442101359367	0.1101492121815681	0.0242042001336813	0.03457316756248474	0.02444534935057163	0.02587768621742725	0.02805658616125584	0.1102294325828552	0.027568019926548	0.02382425963878632	0.1127402111887932	0.1082435920834541	0.02160841226577759	0.1144660711288452	0.1094752177596092	0.1049669682979584	0.1128933429718018	0.1082868501543999	0.1111799329519272	0.1087764352560043	0.1126770153641701	0.1062609478831291	0.122200533747673	0.1095662415027618	0.1042526140809059	0.02240641415119171	0.02404695376753807	0.02480953186750412	0.02677192352712154
C1	0.1025771945714951	0.1053283214569092	0.1045606583356857	0.1031252816319466	0.1036878451704979	0.1091395691037178	0.109572634100914	0.1035710126161575	0.1048499420285225	0	0.0261598639190197	0.02614906802773476	0.02511893399059772	0.02649321779608727	0.1044801101088524	0.1047995239496231	0.1080882102251053	0.1006001532077789	0.1035274192690849	0.0386587493121624	0.1011995449662209	0.1055334135890007	0.02933907136321068	0.03542488068342209	0.109604723751545	0.02998576499521732	0.02653103694319725	0.03600035980343819	0.03200636804103851	0.02518255822360516	0.02831843867897987	0.02942333184182644	0.0326278991997242	0.02868004143238068	0.04378121346235275	0.02658182755112648	0.02549174427986145	0.1046542525291443	0.1077258661389351	0.1076271906495094	0.1007808297872543
