# Constructed from biom file
#OTU ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	NTC	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4	S5
k__Fungi;__;__;__;__;__	7900.0	6972.0	6114.0	15356.0	7445.0	9874.0	9346.0	6956.0	13453.0	6420.0	9622.0	9756.0	8842.0	8.0	10796.0	14089.0	8769.0	10690.0	11226.0	12123.0	18211.0	10563.0	14225.0	10884.0	11878.0	13219.0	7315.0	11456.0	8300.0	11556.0	11036.0	8715.0	12313.0	13726.0	10185.0	12594.0	9909.0	11484.0	8722.0	9563.0	10771.0	9210.0	3830.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Hyphopichia	563.0	379.0	561.0	600.0	365.0	1007.0	896.0	654.0	755.0	117.0	216.0	174.0	202.0	0.0	459.0	974.0	488.0	974.0	766.0	4213.0	850.0	1513.0	384.0	223.0	268.0	933.0	168.0	202.0	186.0	246.0	251.0	202.0	263.0	398.0	266.0	266.0	293.0	361.0	637.0	782.0	530.0	599.0	247.0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Gigasporales;f__Dentiscutataceae;g__Dentiscutata	564.0	315.0	461.0	277.0	373.0	739.0	403.0	686.0	916.0	108.0	113.0	145.0	188.0	0.0	704.0	955.0	436.0	971.0	690.0	162.0	1061.0	449.0	245.0	178.0	210.0	642.0	134.0	201.0	130.0	132.0	133.0	111.0	224.0	326.0	180.0	133.0	109.0	147.0	608.0	440.0	574.0	430.0	225.0
k__Fungi;p__Glomeromycota;c__Glomeromycetes;__;__;__	0.0	0.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe	7329.0	8369.0	5690.0	5128.0	7948.0	6785.0	7055.0	5996.0	11437.0	3497.0	5108.0	4756.0	5531.0	0.0	11982.0	9102.0	9551.0	6972.0	8291.0	5357.0	13076.0	9671.0	4228.0	5767.0	5929.0	8230.0	4035.0	5126.0	3927.0	4811.0	4329.0	4224.0	7126.0	6020.0	6835.0	5054.0	5193.0	5146.0	16019.0	12636.0	9218.0	12669.0	3723.0
k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__GS11_fam_Incertae_sedis;g__GS11_gen_Incertae_sedis	18.0	37.0	19.0	2.0	0.0	15.0	19.0	50.0	542.0	270.0	556.0	351.0	424.0	0.0	55.0	54.0	51.0	40.0	29.0	497.0	28.0	92.0	652.0	688.0	694.0	37.0	425.0	703.0	812.0	561.0	716.0	652.0	605.0	578.0	621.0	727.0	452.0	454.0	69.0	19.0	15.0	22.0	16.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;__;__;__	1614.0	1680.0	1270.0	3626.0	1704.0	1705.0	1427.0	1702.0	6893.0	1037.0	1514.0	2125.0	10989.0	0.0	2910.0	2534.0	2961.0	2928.0	8383.0	3888.0	12721.0	2798.0	2251.0	6427.0	2520.0	3527.0	1180.0	3347.0	1944.0	1721.0	1580.0	3429.0	2995.0	9114.0	2511.0	2946.0	2381.0	2651.0	2317.0	2860.0	2188.0	2350.0	1610.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;__;__;__;__	1383.0	1290.0	1058.0	2341.0	1231.0	1480.0	1219.0	1528.0	3098.0	1042.0	1945.0	2212.0	2015.0	0.0	2830.0	3478.0	1627.0	2268.0	1881.0	4443.0	3208.0	1962.0	2186.0	1859.0	2638.0	3335.0	2186.0	2099.0	1595.0	2090.0	1954.0	1890.0	2991.0	4201.0	3065.0	1843.0	2284.0	3358.0	1560.0	2432.0	1412.0	1655.0	836.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes;__;__;__	240.0	87.0	254.0	1058.0	142.0	46.0	465.0	202.0	1163.0	25.0	23.0	56.0	49.0	0.0	557.0	108.0	292.0	725.0	280.0	50.0	670.0	500.0	88.0	64.0	92.0	740.0	17.0	28.0	79.0	95.0	31.0	100.0	56.0	128.0	63.0	49.0	83.0	29.0	436.0	955.0	284.0	179.0	66.0
k__Fungi;p__Basidiomycota;__;__;__;__	963.0	716.0	1169.0	7159.0	1826.0	1387.0	1817.0	1319.0	2151.0	4337.0	5215.0	5955.0	7921.0	0.0	1365.0	2150.0	968.0	2600.0	5842.0	5715.0	2664.0	997.0	7329.0	9041.0	5616.0	3703.0	5165.0	5618.0	1520.0	5214.0	7107.0	4660.0	6864.0	6291.0	5344.0	3487.0	4919.0	13988.0	1354.0	1335.0	1167.0	1068.0	603.0
k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	0.0	4.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	3.0
k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__Spizellomycetales_fam_Incertae_sedis;g__Spizellomycetales_gen_Incertae_sedis	9.0	18.0	15.0	66.0	0.0	79.0	101.0	54.0	254.0	21.0	0.0	10.0	22.0	0.0	71.0	122.0	219.0	217.0	62.0	7.0	30.0	50.0	0.0	6.0	2.0	439.0	2.0	14.0	7.0	11.0	12.0	8.0	4.0	24.0	0.0	5.0	4.0	23.0	3.0	135.0	51.0	26.0	19.0
k__Fungi;p__Mucoromycota;c__Endogonomycetes;o__Endogonales;f__Endogonaceae;g__Endogone	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis	0.0	0.0	0.0	99.0	0.0	2.0	0.0	7.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	37.0	0.0	0.0	20.0	0.0	3.0	34.0	18.0	3.0	0.0	0.0	3.0	0.0	0.0	13.0	10.0	0.0	0.0	0.0	2.0	10.0	3.0	0.0	3.0	3.0
k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Kickxellomycota;c__Ramicandelaberomycetes;o__Ramicandelaberales;f__Ramicandelaberaceae;g__Ramicandelaber	64.0	237.0	30.0	68.0	149.0	149.0	24.0	51.0	375.0	21.0	297.0	40.0	30.0	0.0	42.0	25.0	45.0	29.0	29.0	42.0	521.0	150.0	36.0	39.0	39.0	48.0	27.0	23.0	12.0	19.0	56.0	25.0	97.0	25.0	24.0	63.0	33.0	37.0	3246.0	302.0	211.0	631.0	81.0
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Macalpinomyces	104.0	92.0	84.0	101.0	74.0	89.0	126.0	97.0	247.0	71.0	68.0	64.0	95.0	0.0	121.0	170.0	92.0	170.0	123.0	84.0	150.0	229.0	44.0	168.0	79.0	233.0	40.0	148.0	79.0	98.0	116.0	93.0	134.0	219.0	110.0	132.0	67.0	75.0	116.0	74.0	121.0	472.0	70.0
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Sporisorium	21.0	40.0	21.0	30.0	28.0	27.0	30.0	17.0	81.0	0.0	0.0	0.0	0.0	0.0	39.0	48.0	44.0	35.0	52.0	0.0	40.0	28.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	30.0	46.0	61.0	32.0	17.0
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;__	58.0	8.0	10.0	41.0	10.0	6.0	9.0	14.0	39.0	0.0	0.0	0.0	0.0	0.0	76.0	66.0	16.0	37.0	29.0	0.0	31.0	27.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	51.0	147.0	47.0	8.0
