	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4
B1	0	0.6472287178039551	0.6519131064414978	0.6870200037956238	0.6638795137405396	0.663389265537262	0.6407495737075806	0.6615794897079468	0.6709688305854797	0.8173073530197144	0.8341341614723206	0.8339533805847168	0.836836576461792	0.6576409935951233	0.6693278551101685	0.6543905735015869	0.6583720445632935	0.6425238847732544	0.8237221837043762	0.6543112397193909	0.6740168333053589	0.8419190645217896	0.8191115856170654	0.8387457728385925	0.6408333778381348	0.8218929171562195	0.8259932398796082	0.8310584425926208	0.8305366039276123	0.8266417384147644	0.8361688256263733	0.8301129341125488	0.8306309580802917	0.817660927772522	0.8278932571411133	0.8269625902175903	0.810312807559967	0.6451643705368042	0.6662467122077942	0.6337990760803223	0.6835682392120361
B2	0.6472287178039551	0	0.6735561490058899	0.676785945892334	0.6725600957870483	0.6726531386375427	0.6771829724311829	0.6427856087684631	0.6608595252037048	0.8126104474067688	0.8213103413581848	0.8276706337928772	0.837126612663269	0.6770966649055481	0.6554857492446899	0.6454702019691467	0.647605836391449	0.6762827634811401	0.8122075200080872	0.6816090941429138	0.6887860894203186	0.8383552432060242	0.8321574330329895	0.8402526378631592	0.6555733680725098	0.8239277601242065	0.8176124691963196	0.8361448049545288	0.8167986869812012	0.8312758803367615	0.8200839161872864	0.8279266953468323	0.8162686824798584	0.8189151287078857	0.8192412257194519	0.8252591490745544	0.8109612464904785	0.6680685877799988	0.6621651649475098	0.6324998736381531	0.665316641330719
B3	0.6519131064414978	0.6735561490058899	0	0.6626301407814026	0.6786047220230103	0.673056960105896	0.6634223461151123	0.6477290987968445	0.6611816883087158	0.8159902691841125	0.8412168622016907	0.8374171257019043	0.8299317955970764	0.6441009044647217	0.6934292316436768	0.6515228152275085	0.6725940108299255	0.6505821347236633	0.8105395436286926	0.6533399224281311	0.6799376606941223	0.8340781927108765	0.8176432847976685	0.8363260626792908	0.6330075263977051	0.8263036012649536	0.8356134295463562	0.8339160084724426	0.823744535446167	0.8264511823654175	0.8213322758674622	0.8185165524482727	0.8125910758972168	0.8216560482978821	0.8065689206123352	0.8182218670845032	0.8072656393051147	0.6496614217758179	0.674955427646637	0.6459474563598633	0.6633260250091553
B4	0.6870200037956238	0.676785945892334	0.6626301407814026	0	0.6733260154724121	0.6699861884117126	0.655092716217041	0.6415879130363464	0.6472116708755493	0.8183025121688843	0.8261573314666748	0.8276708126068115	0.8333391547203064	0.6676252484321594	0.6664217710494995	0.6660328507423401	0.6504746079444885	0.6423114538192749	0.8241934776306152	0.6512163281440735	0.6841092705726624	0.8312713503837585	0.813467800617218	0.8294768929481506	0.6434522867202759	0.8222036361694336	0.8231312036514282	0.8252971172332764	0.818277895450592	0.8300033807754517	0.8246848583221436	0.8177734613418579	0.8252614736557007	0.816426157951355	0.8170269727706909	0.8237935304641724	0.8007169961929321	0.631974458694458	0.6549187898635864	0.6584504246711731	0.6449336409568787
B5	0.6638795137405396	0.6725600957870483	0.6786047220230103	0.6733260154724121	0	0.6841153502464294	0.6631916165351868	0.6635720729827881	0.6703870892524719	0.800689697265625	0.8212356567382812	0.8195133209228516	0.831113874912262	0.6860829591751099	0.6587133407592773	0.6773117184638977	0.6795627474784851	0.6365583539009094	0.8070916533470154	0.6656387448310852	0.6806753277778625	0.8337517976760864	0.8129066824913025	0.8252506852149963	0.6527041792869568	0.8137966990470886	0.8165852427482605	0.827269971370697	0.8231617212295532	0.8145174384117126	0.8196671009063721	0.8252514004707336	0.810630202293396	0.8055529594421387	0.8088293671607971	0.8208076953887939	0.8040329813957214	0.6528626084327698	0.6574558615684509	0.639752984046936	0.6494722366333008
B6	0.663389265537262	0.6726531386375427	0.673056960105896	0.6699861884117126	0.6841153502464294	0	0.6626431941986084	0.6585068702697754	0.6501124501228333	0.8201881051063538	0.8262004852294922	0.8340408205986023	0.8352701663970947	0.6529859304428101	0.6500806212425232	0.6525393128395081	0.6564743518829346	0.657548189163208	0.8222470283508301	0.6659829616546631	0.671238899230957	0.8484084010124207	0.817902147769928	0.8371412754058838	0.6569865345954895	0.8280269503593445	0.8262187242507935	0.8238457441329956	0.8301578760147095	0.8282056450843811	0.8345699906349182	0.8229264616966248	0.8253216147422791	0.8219913244247437	0.8241172432899475	0.826503574848175	0.8112436532974243	0.6675806045532227	0.6463128924369812	0.6526324152946472	0.6721426844596863
B7	0.6407495737075806	0.6771829724311829	0.6634223461151123	0.655092716217041	0.6631916165351868	0.6626431941986084	0	0.6306101679801941	0.641656219959259	0.8185859322547913	0.8284046053886414	0.8269913792610168	0.8380479216575623	0.6550459265708923	0.6712580323219299	0.6566965579986572	0.642131507396698	0.6234310865402222	0.8203862309455872	0.650886595249176	0.6684936881065369	0.8267311453819275	0.8227517008781433	0.8401749730110168	0.6315802335739136	0.8313998579978943	0.8230015635490417	0.8260718584060669	0.8265088200569153	0.8172356486320496	0.8351486921310425	0.8308634757995605	0.8111119866371155	0.8315123915672302	0.8214289546012878	0.8207014203071594	0.8131389617919922	0.638657808303833	0.6529836058616638	0.6207655668258667	0.6387897729873657
B8	0.6615794897079468	0.6427856087684631	0.6477290987968445	0.6415879130363464	0.6635720729827881	0.6585068702697754	0.6306101679801941	0	0.6332986354827881	0.8105602264404297	0.823190450668335	0.8359403014183044	0.8312691450119019	0.669367253780365	0.6601945161819458	0.6269609332084656	0.6334980726242065	0.6264058351516724	0.8199833631515503	0.6463431715965271	0.6650235056877136	0.8389940857887268	0.8168096542358398	0.8325687646865845	0.6101915240287781	0.8264301419258118	0.8153578042984009	0.828630268573761	0.8195754289627075	0.8213534355163574	0.8225430250167847	0.8205215334892273	0.7979809641838074	0.8118423223495483	0.8114756345748901	0.827246367931366	0.8130955100059509	0.6552615761756897	0.6497015357017517	0.6201518177986145	0.6574738621711731
B9	0.6709688305854797	0.6608595252037048	0.6611816883087158	0.6472116708755493	0.6703870892524719	0.6501124501228333	0.641656219959259	0.6332986354827881	0	0.8130531907081604	0.8154523968696594	0.8267951011657715	0.8324670791625977	0.6695605516433716	0.6639482975006104	0.6496171951293945	0.6456344127655029	0.6280460357666016	0.8202426433563232	0.6576530933380127	0.6590707302093506	0.8241083025932312	0.8166897892951965	0.8361257314682007	0.6404746174812317	0.8268855810165405	0.8243771195411682	0.8206199407577515	0.827464759349823	0.8083270788192749	0.8221619129180908	0.8185942769050598	0.8174305558204651	0.8221313953399658	0.8096203207969666	0.8159917593002319	0.8207529783248901	0.6366758942604065	0.6582008004188538	0.6520217657089233	0.6457437872886658
C1	0.8173073530197144	0.8126104474067688	0.8159902691841125	0.8183025121688843	0.800689697265625	0.8201881051063538	0.8185859322547913	0.8105602264404297	0.8130531907081604	0	0.6673851609230042	0.6655593514442444	0.6664081811904907	0.8341158628463745	0.8323270678520203	0.8133572340011597	0.8156051635742188	0.8116077184677124	0.636909008026123	0.8112602233886719	0.8149952292442322	0.6887171864509583	0.6611968874931335	0.6684422492980957	0.794154942035675	0.6438261866569519	0.6453671455383301	0.6922434568405151	0.6544071435928345	0.660157322883606	0.6373026371002197	0.6787257194519043	0.6482669115066528	0.6412424445152283	0.6658800840377808	0.6574053764343262	0.6405646204948425	0.8043185472488403	0.8287594318389893	0.7969850897789001	0.8167174458503723
